0	1600943000	1600628000	1600596000
1	1600645000	1600764000	1600601000
2	1600737000	1600695000	1600758000
3	1600776000	1600803000	1600753000
4	1600659000	1600716000	1600677000
5	1600618000	1600746000	1600604000
6	1600719000	1600827000	1600774000
7	1600639000	1600852000	1600721000
8	1600893000	1600768000	1600753000
9	1601027000	1600539000	1600768000
10	1600933000	1600803000	1600590000
11	1600486000	1600866000	1600625000
12	1600731000	1600651000	1600573000
13	1600797000	1600580000	1600712000
14	1600814000	1600855000	1600514000
15	1600900000	1600583000	1600588000
16	1600883000	1600881000	1600708000
17	1600856000	1600850000	1600291000
18	1600658000	1600584000	1600741000
19	1600764000	1600661000	1600685000
20	1600684000	1600728000	1600407000
21	1600642000	1600605000	1600201000
22	1600765000	1600728000	1600686000
23	1600674000	1600772000	1600322000
24	1600718000	1600892000	1600706000
25	1600566000	1600737000	1600340000
26	1600549000	1600753000	1600439000
27	1600600000	1600628000	1600731000
28	1600795000	1600626000	1600596000
29	1600702000	1600683000	1600533000
30	1600430000	1600776000	1600752000
31	1600626000	1600760000	1600611000
32	1600736000	1600652000	1600679000
33	1600697000	1600631000	1600648000
34	1600434000	1600594000	1600738000
35	1600765000	1600696000	1600583000
36	1600721000	1600610000	1600497000
37	1600604000	1600680000	1600492000
38	1600583000	1600411000	1600588000
39	1600620000	1600706000	1600697000
40	1600687000	1600660000	1600700000
41	1600806000	1600788000	1600619000
42	1600756000	1600643000	1600574000
43	1600858000	1600774000	1600610000
44	1600804000	1600871000	1600705000
45	1600618000	1600734000	1600708000
46	1600627000	1600801000	1600415000
47	1600739000	1600807000	1600667000
48	1600804000	1600615000	1600666000
49	1600828000	1600733000	1600691000
